Field,Date,FIBBG000B9XRY4,FIBBG000BKZB36,FIBBG000BMHYD1,FIBBG000BPH459,FIBBG000GZQ728,FIBBG00B3T3HD3
Close,2023-06-16,184.1926,294.7205,160.532,340.2855,102.3788,35.2363
Close,2023-06-20,184.2823,295.7311,160.4343,336.0311,100.0319,33.8513
Close,2023-06-21,183.2364,295.0345,160.1899,331.5679,101.1518,34.5339
Close,2023-06-22,186.2644,295.5054,161.8907,337.6812,100.5967,33.0501
Close,2023-06-23,185.9457,295.1424,161.7539,333.0192,99.7203,32.4862
Close,2023-06-26,184.5412,302.089,159.9455,326.6375,101.5608,32.6346
Close,2023-06-27,187.3203,307.8288,159.6132,332.5719,101.814,34.0591
Close,2023-06-28,188.5056,300.735,159.2906,333.8442,102.6418,33.2974
Close,2023-06-29,188.8442,302.0203,160.4049,333.049,103.9078,33.3963
Close,2023-06-30,193.207,304.7872,161.793,338.5062,104.4434,33.5645
Close,2023-07-03,191.703,304.1789,159.6718,335.9715,104.6479,33.9008
Close,2023-07-05,190.5774,304.9442,159.144,336.1305,104.1123,33.3172
Close,2023-07-06,191.0555,296.3296,157.9612,339.2319,100.2267,32.1894
Close,2023-07-07,189.93,297.1047,155.6642,335.2061,100.4604,33.7227
Close,2023-07-10,187.8681,304.434,155.9183,329.8482,101.9504,33.7722
Close,2023-07-11,187.3402,307.7503,155.0581,330.4844,103.1969,34.3163
Close,2023-07-12,189.0235,311.5375,154.5205,335.1862,103.7033,34.6724
Close,2023-07-13,189.7905,308.6726,155.2341,340.6136,101.8043,36.2947
Close,2023-07-14,189.9399,310.5368,156.2702,343.1782,98.2985,34.1481
Close,2023-07-17,193.2269,310.0952,155.4882,343.6652,98.727,35.1868
Close,2023-07-18,192.968,310.7919,155.4784,357.3431,98.279,34.6625
Close,2023-07-19,194.3326,313.4606,155.1656,352.9594,98.9607,34.4647
Close,2023-07-20,192.3703,313.078,164.5886,344.7984,100.7039,32.3279
Close,2023-07-21,191.185,314.432,166.3578,341.7169,101.1713,33.0204
Close,2023-07-24,191.9918,318.9845,167.2278,343.0489,102.7586,33.3864
Close,2023-07-25,192.8584,319.0042,168.5083,348.8839,102.9145,35.2264
Close,2023-07-26,193.7349,323.3801,168.8308,335.7528,102.3399,34.4647
Close,2023-07-27,192.46,323.4979,169.779,328.7449,102.6613,33.5447
Close,2023-07-28,195.0597,325.1266,170.5512,336.3492,101.4342,34.3855
Close,2023-07-31,195.6773,327.5501,163.7577,333.9138,104.4336,35.8001
Close,2023-08-01,194.8356,325.8134,165.0871,334.3313,103.8299,34.801
Close,2023-08-02,191.8225,322.3107,166.0841,325.5441,102.5347,33.5645
Close,2023-08-03,190.418,323.6352,166.7977,324.7091,104.3168,34.1283
Close,2023-08-04,181.2741,320.2797,165.2337,325.8224,104.6089,33.5842
Close,2023-08-07,178.1465,322.968,169.2023,328.1385,104.3947,33.7926
Close,2023-08-08,179.0928,321.6337,169.2805,324.1028,104.9108,32.9691
Close,2023-08-09,177.4891,322.0261,169.173,320.3056,106.6929,33.3561
Close,2023-08-10,177.27,323.1937,168.2932,321.0014,107.2383,32.6219
Close,2023-08-11,177.3298,324.8715,169.9354,319.0929,108.9035,31.7091
Close,2023-08-14,178.9955,323.7334,169.5346,322.1048,108.9912,31.4809
Close,2023-08-15,176.9907,325.8821,169.0459,319.9378,106.193,30.1018
Close,2023-08-16,176.113,326.7553,168.5083,319.1608,104.4061,29.0799
